asset_id,filename,old_production_scenes,new_shadow_scenes,old_production_keyframes,new_shadow_keyframes,new_event_candidates
7f72217d-3839-4920-86b4-ccc33e9e3d95,IMG_0531.MP4,1,1,1,4,2
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,1,1,1,8,6
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,1,2,1,6,2
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,1,1,1,3,1
64712c6a-c02c-46e9-9f73-16786109468b,IMG_0493.MP4,1,1,1,2,0
47611c6d-7923-42a4-87b6-c2a416a90f5c,IMG_1148.MP4,1,1,1,5,3
bfae6c51-5d71-47ae-a3e1-6d07092b8896,IMG_2963.MP4,1,1,1,4,2
753eb5f3-82c7-4148-a226-d5b960fd8619,IMG_1160.MP4,1,3,1,12,6
