"ordinal","asset_id","filename","local_classification","confidence","patient_context","procedure_context","sensitive_text","external_ai_current","human_decision","reviewer","reviewed_at","notes"
"664","458c5b81-59ea-4cd2-b11d-9de9f71f91da","DSC05904.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"665","71902de5-318a-4d50-b4e8-619a05aa8f48","DSC04942.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"666","b30ede02-2189-4723-8154-a4d25351661e","DSC06878.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"667","4d9df3a4-c565-4828-9b0d-7b16ae354605","DSC05901.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"668","8751a8dd-9c3f-4aba-8cf0-4e1e9c6d179e","DSC05898.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"669","a29e69e9-e604-4b97-b76f-f6cc9c35366d","DSC04937.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"670","0e5b171a-1b69-4b13-98af-6f79f5d38dc9","DSC03756.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"671","c50101ac-c476-4c15-b3dc-645589ccd5d3","DSC06863.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"672","79f3c5b0-7bb2-4908-8f9e-31308fdeac15","DSC05899.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
"673","40bc63fd-cbb0-43a9-9297-3e8ed23c41e9","DSC05906.JPG","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T07:37:53.951826Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 664-880."
