"ordinal","asset_id","filename","local_classification","confidence","patient_context","procedure_context","sensitive_text","external_ai_current","human_decision","reviewer","reviewed_at","notes"
"131","c507ee4a-3df5-4701-8363-827263a294de","IMG_0612.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"132","f25d029c-ba5b-4b47-8bff-fa05eacd51ca","IMG_1365.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"133","c54f3c68-3ae7-4e1a-9534-5667a0d76ec8","IMG_1374.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"134","c06fa600-7107-4470-8c75-c8ab2a330b13","IMG_0546.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"135","970eafde-e6d5-4068-947b-0483489da1d7","IMG_4609.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"136","7e3de05a-1da1-4700-9170-326717728245","IMG_1163.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"137","4248f9e4-9ace-4923-94be-ff6cde1eb506","IMG_2945.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"138","d2705b50-c484-4c65-80e0-eb5d80a9bc6a","IMG_3388.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"139","c0bca228-da4b-441c-8011-1b54e9f672cf","IMG_0913.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
"140","a0e18832-e1d5-4d02-b34d-3463dc12ebaa","IMG_0600.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:14:56.565390Z","Controlled KDI Claude semantic indexing for exact cohort ordinals 131-300."
