"ordinal","asset_id","filename","local_classification","confidence","patient_context","procedure_context","sensitive_text","external_ai_current","human_decision","reviewer","reviewed_at","notes"
"301","b6692fee-6ff0-447b-9934-8f1a502181db","IMG_1428.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"302","e421b0a5-2cc1-4904-b688-052cde780c2e","IMG_3591.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"303","740d6ec4-3c43-4838-a01e-7f7732734f12","IMG_2960.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"304","1d71d5de-07e5-4666-9023-05d97e7cb194","IMG_2147.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"305","e87426e2-fbe0-40e6-817d-c0cfbd456e24","IMG_3386.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"306","1ff9c2ba-c5b5-493e-a404-0315aa18d15a","IMG_1965.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"307","2bcecfa9-0e01-4f57-844f-7622154deced","IMG_0533.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"308","2f47541c-7a08-4395-b125-175201f25fda","IMG_1002.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"309","96d0c36b-694a-433c-b374-0febbacaf5df","IMG_2339.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"310","aac87187-65fc-4931-b669-20c0543ebfbd","IMG_3479.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"311","d3b1947f-dadc-423d-a3dd-4b51d21c5aca","IMG_0993.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"312","1522cff9-860e-42b5-9dab-c04f3d5df430","IMG_1356.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"313","3e453e4f-431d-4b2f-a9c3-555a074ce6f9","IMG_7174.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"314","7bba6b49-2785-4b54-87fb-e19900f2bd67","IMG_0592.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"315","4761c4a7-c821-4b34-a389-39d3a7504dd3","IMG_1966.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"316","fa924750-4200-4608-bb69-33421fe9b55f","IMG_3416.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"317","7a4a4bd0-8ade-41b9-82a4-61d9e3ace594","IMG_1367.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"318","258b358e-5c7c-47a4-a195-087a203a7bfd","IMG_1956.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"319","7cadaea8-b55f-41f2-878d-82ae1013a197","IMG_2936.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"320","94d84d3c-554c-40d3-b261-2c40c4e154bc","IMG_2940.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"321","09138b71-a578-4f20-9e77-446aebab9473","IMG_2974.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"322","3cc7b5b3-008d-4296-a2eb-6bcc9f5bdd13","IMG_2962.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"323","ba07b529-0217-4dfb-8cf2-2a0dce175ea6","IMG_0567.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"324","42cf9489-c27b-4d6a-ab72-785ef29d43ce","IMG_0486.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"325","bb3516c7-a0f1-402c-aecc-3472f3625ba1","IMG_1351.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"326","a553d17e-d27e-4799-b0c1-97073929617a","IMG_2338.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"327","4f6f4e54-896e-4b34-b9ed-54cd28456f2f","IMG_2347.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"328","b5b35600-abff-4c78-a34f-0e862de57499","IMG_1235.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"329","a5d1a2d7-3000-4f34-8ab5-f1c983c9a02a","IMG_3397.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"330","91029420-4a60-41ac-9201-b52b345b75cd","IMG_2342.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
"331","ef44c4b1-048b-41f7-b675-a1a0ae29331b","IMG_1230.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T07:58:18.330823Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 301-500."
