"ordinal","asset_id","filename","local_classification","confidence","patient_context","procedure_context","sensitive_text","external_ai_current","human_decision","reviewer","reviewed_at","notes"
"601","f2324cd6-af1e-4c55-b6dc-2919d11959b0","2 MONTH 22.03 (8).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"602","0b46b4fd-3175-463c-a687-7c092c370195","26.01 (2).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"603","b3c4f594-a468-4e8c-bcc4-a3d403e0aba3","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"604","1b80baea-ef5c-45cc-9769-d32c570bb529","2 MONTH 22.03 (10).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"605","4475654f-263f-42aa-b081-f60eb0f63b4f","26.01 (5).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"606","068487d9-bdf0-46d3-93fd-6080c769a9f6","1 MONTH 22.02 (4).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"607","452a48f7-0c39-4553-b8c3-88ab3589eba3","26.01 (3).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"608","e5ad6104-5edb-4f81-8ef2-2176f619b0ea","26.01 (6).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"609","8798e56c-ba3b-430c-b266-c64c58901827","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"610","f8635043-6389-45c5-95be-7fce960b13ff","1 MONTH 22.02 (5).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"611","a0ab88b2-08ae-4511-b78d-28c6b33b2eb2","2 MONTH 22.03 (6).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"612","d701e38f-88c7-4008-bcd2-2a6ba42eda7e","2 MONTH 22.03 (4).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"613","0e2b5080-d06d-4b39-b826-2b8545a128ab","PHOTO-2026-05-08-10-14-00.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"614","24ce6830-1568-421e-b7c2-e7566ced0f35","26.01 (7).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"615","72ae73b5-4670-424b-89ea-aff41d650a72","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"616","6bad3892-7ae9-4f9d-be87-0312dbb4b9e7","1 MONTH 22.02 (6).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"617","9c16b75b-8524-41d5-af8a-7b39a70051ba","PHOTO-2026-05-08-10-13-58.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"618","9a6057f4-97eb-4028-9375-c7b530582365","1 MONTH 22.02 (2).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"619","faaa3b6a-102e-4abf-bd53-6a38ffc7f120","26.01 (10).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"620","b8e77714-90af-4fe0-aaae-52ab930f7573","2 MONTH 22.03 (3).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"621","dfb747ec-0b0c-460a-8529-08532f0164b1","PHOTO-2026-05-08-10-14-00.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"622","770e970e-00dc-405d-bd0f-bfeea7ace72b","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"623","8540d49e-df6f-427d-9364-52d7fb3b5c18","26.01 (9).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"624","670c2579-2453-420f-ad35-5dc951f47402","26.01 (12).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"625","d8fb5c9d-c80a-4605-a646-95b01aaeff95","26.01 (11).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"626","133c5486-1531-486b-ae48-acc5391d46b5","1 MONTH 22.02 (8).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"627","666a41f6-bf0b-410d-8438-9dac7264bdf7","2 MONTH 22.03 (2).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"628","a427d983-edb0-4daf-9737-8c84124faac9","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"629","831b3b0d-01fc-4a13-82fe-44bc3c75f981","2 MONTH 22.03 (5).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"630","111d0f3c-cf3f-4711-bec0-dc5f4ddab85b","PHOTO-2026-05-08-10-14-00.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"631","71d4bd48-9da4-4d7b-98dd-d0fddc9f1fff","26.01 (4).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"632","fc71646a-e78d-4d87-9501-d49e1c57dc09","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"633","1ac443cd-114f-4aa1-8e41-113f9ba9b246","2 MONTH 22.03 (9).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"634","ebb8104e-1da2-4247-9db6-75331cb68cc4","1 MONTH 22.02 (1).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"635","395ad032-4bf5-4090-a701-71c402a117ce","1 MONTH 22.02 (3).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"636","a9d4e94d-6045-4014-9442-17c70b97efaf","2 MONTH 22.03 (7).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"637","9b48c2fe-9a79-435a-b8fe-3b63010cd677","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"638","78516c04-8d74-4e01-945c-90c1fe84fe36","2 MONTH 22.03 (1).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"639","0d2d1b4f-d43e-43bc-be8b-fe56217f66f6","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"640","c392a71d-3f01-4879-b7b0-5da2104ad9e7","PHOTO-2026-05-08-10-13-59.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"641","994204b3-5ebb-48b0-92f7-46652b49e0dd","1 MONTH 22.02 (7).jpeg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"642","ed976ed3-5de7-4783-a161-2b67b1b044b9","PHOTO-2026-05-08-10-14-16.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"643","cb446894-bfd0-41c9-a799-7d1833b101c9","PHOTO-2026-05-08-10-31-00.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"644","015fd5cf-98c5-4575-b44c-6c364852aa08","PHOTO-2026-05-08-10-31-00.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"645","98ff254d-67e8-4c86-93ef-c7a714786e84","PHOTO-2026-05-08-10-31-00.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
"646","e7e75a31-0445-4598-a371-ca415c2b1f4c","PHOTO-2026-05-08-10-31-00.jpg","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-09T06:28:51.893759Z","Controlled internal KDI Claude semantic indexing authorization for exact cohort ordinals 601-663."
