asset_id,filename,layer_id,semantic_state,processing_status,assertion_count,evidence_count,review_status,analysis_run
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,RELATIONSHIPS,OBSERVED,COMPLETE,3,3,PENDING,4473c22d-2229-503f-9695-2b103d25d2f3
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,CLINICAL_VISUAL_OBSERVATIONS,OBSERVED,COMPLETE,1,1,PENDING,4473c22d-2229-503f-9695-2b103d25d2f3
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,ENVIRONMENT,OBSERVED,COMPLETE,1,1,PENDING,4473c22d-2229-503f-9695-2b103d25d2f3
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,CINEMATOGRAPHY,OBSERVED,COMPLETE,3,3,PENDING,4473c22d-2229-503f-9695-2b103d25d2f3
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,COMPOSITION,OBSERVED,COMPLETE,2,2,PENDING,4473c22d-2229-503f-9695-2b103d25d2f3
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,SPEECH_TRANSCRIPT_AUDIO,OBSERVED,COMPLETE,4,1,PENDING,cb03175d-29a9-5a49-8428-5ba55124b52e
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,OCR_VISIBLE_TEXT,OBSERVED,COMPLETE,1,1,PENDING,2ff16dc2-54ed-5a07-87d5-b082a1445156
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,MARKETING_CONTENT_USAGE,OBSERVED,COMPLETE,2,2,PENDING,4473c22d-2229-503f-9695-2b103d25d2f3
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,SEMANTIC_NARRATIVE,OBSERVED,COMPLETE,1,1,PENDING,65052cd0-8a5a-542f-a9a8-ec82f1c6e6ab
babae120-9372-42ad-b535-02a3276ea2be,IMG_1238.MP4,SEARCH_EMBEDDINGS,OBSERVED,COMPLETE,1,1,PENDING,4473c22d-2229-503f-9695-2b103d25d2f3
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,ASSET_IDENTITY_PROVENANCE,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,GLOBAL_ASSET_UNDERSTANDING,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,TEMPORAL_SCENE_STRUCTURE,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,PEOPLE_ROLES,OBSERVED,COMPLETE,2,2,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,PERSON_APPEARANCE,OBSERVED,COMPLETE,3,3,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,ANATOMY,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,TREATMENT_PROCEDURE,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,ACTIONS_EVENTS,OBSERVED,COMPLETE,2,2,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,RELATIONSHIPS,OBSERVED,COMPLETE,2,2,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,CLINICAL_VISUAL_OBSERVATIONS,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,ENVIRONMENT,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,CINEMATOGRAPHY,OBSERVED,COMPLETE,3,3,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,COMPOSITION,OBSERVED,COMPLETE,2,2,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,SPEECH_TRANSCRIPT_AUDIO,OBSERVED,COMPLETE,4,1,PENDING,2d1071bb-5f3f-56e4-91cd-973c40cde7cb
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,OCR_VISIBLE_TEXT,UNKNOWN,COMPLETE,1,0,PENDING,2a21f21c-561b-5b3f-8e15-f7b49cae5711
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,MARKETING_CONTENT_USAGE,OBSERVED,COMPLETE,2,2,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,SEMANTIC_NARRATIVE,OBSERVED,COMPLETE,1,1,PENDING,7a15eb29-ce4b-557d-850a-0482f0325ee4
c86344e9-5b32-4d86-9205-67952d508651,IMG_3429.MP4,SEARCH_EMBEDDINGS,OBSERVED,COMPLETE,1,1,PENDING,8e1301dc-17ac-5851-a1d7-0ba2e4bfe5b8
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,ASSET_IDENTITY_PROVENANCE,OBSERVED,COMPLETE,1,1,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,GLOBAL_ASSET_UNDERSTANDING,OBSERVED,COMPLETE,1,1,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,TEMPORAL_SCENE_STRUCTURE,OBSERVED,COMPLETE,1,1,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,PEOPLE_ROLES,OBSERVED,COMPLETE,1,1,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,PERSON_APPEARANCE,OBSERVED,COMPLETE,3,3,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,ANATOMY,OBSERVED,COMPLETE,1,1,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
